Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,State,City,Region,Product ID,Category,Sub Category,Product Name,Quantity,Unit Price,Discount,Sales,Cost,Profit,Profit Margin,Payment Mode,Shipping Mode
ORD-20230035,2024-08-14,2024-08-19,CUST-1907,Customer 1907,Home Office,Canada,State_10,City_1,East,PROD-OFF-4475,Office Supplies,Envelopes,Envelopes Product 3,10,254.12,0.2,2032.96,904.63,1128.33,0.555,PayPal,Same Day
ORD-20230036,2025-08-21,2025-08-25,CUST-3964,Customer 3964,Consumer,Canada,State_7,City_43,East,PROD-FUR-3830,Furniture,Furnishings,Furnishings Product 42,13,180.02,0.24,1778.6,791.64,986.96,0.5549,PayPal,First Class
ORD-20230037,2025-03-01,2025-03-03,CUST-6703,Customer 6703,Consumer,France,State_50,City_46,Central,PROD-OFF-7342,Office Supplies,Appliances,Appliances Product 48,10,472.17,0.18,3871.79,2976.88,894.91,0.2311,Cash on Delivery,Second Class
ORD-20230038,2023-09-15,2023-09-22,CUST-2256,Customer 2256,Consumer,United Kingdom,State_22,City_100,Central,PROD-TEC-2021,Technology,Accessories,Accessories Product 42,13,267.1,0.19,2812.56,1679.22,1133.34,0.403,Credit Card,Standard Class
ORD-20230039,2024-05-08,2024-05-13,CUST-2968,Customer 2968,Consumer,France,State_48,City_7,East,PROD-OFF-8975,Office Supplies,Paper,Paper Product 15,7,322.4,0.03,2189.1,1461.31,727.79,0.3325,Cash on Delivery,First Class
ORD-20230040,2024-07-01,2024-07-02,CUST-7442,Customer 7442,Consumer,Germany,State_38,City_76,North,PROD-TEC-7110,Technology,Copiers,Copiers Product 45,12,126.64,0.23,1170.15,910.23,259.92,0.2221,Credit Card,Same Day
ORD-20230041,2023-12-30,2024-01-01,CUST-2414,Customer 2414,Consumer,Australia,State_4,City_22,East,PROD-OFF-7251,Office Supplies,Storage,Storage Product 27,7,411.74,0.0,2882.18,1422.46,1459.72,0.5065,Credit Card,Same Day
ORD-20230042,2023-10-08,2023-10-10,CUST-2799,Customer 2799,Home Office,France,State_21,City_34,Central,PROD-OFF-2647,Office Supplies,Binders,Binders Product 5,13,140.61,0.28,1316.11,662.69,653.42,0.4965,Credit Card,First Class
ORD-20230043,2024-09-03,2024-09-09,CUST-7797,Customer 7797,Consumer,France,State_46,City_37,Central,PROD-TEC-4458,Technology,Phones,Phones Product 32,11,112.3,0.02,1210.59,773.78,436.81,0.3608,PayPal,First Class
ORD-20230044,2024-11-07,2024-11-09,CUST-4282,Customer 4282,Corporate,United States,State_21,City_56,Central,PROD-OFF-1808,Office Supplies,Storage,Storage Product 15,2,406.24,0.08,747.48,436.46,311.02,0.4161,PayPal,First Class
ORD-20230045,2023-01-20,2023-01-25,CUST-7672,Customer 7672,Home Office,United Kingdom,State_49,City_65,South,PROD-FUR-7140,Furniture,Tables,Tables Product 4,13,298.92,0.14,3341.93,2477.0,864.93,0.2588,Credit Card,Standard Class
ORD-20230046,2025-10-03,2025-10-04,CUST-1654,Customer 1654,Consumer,France,State_23,City_8,East,PROD-TEC-1588,Technology,Accessories,Accessories Product 2,4,367.01,0.2,1174.43,798.15,376.28,0.3204,Cash on Delivery,First Class
ORD-20230047,2025-05-25,2025-05-29,CUST-6347,Customer 6347,Consumer,United States,State_32,City_38,Central,PROD-OFF-7873,Office Supplies,Art,Art Product 10,1,223.06,0.07,207.45,124.63,82.82,0.3992,Credit Card,Same Day
ORD-20230048,2024-11-15,2024-11-20,CUST-2524,Customer 2524,Home Office,France,State_19,City_100,South,PROD-OFF-4456,Office Supplies,Appliances,Appliances Product 4,13,425.27,0.01,5473.22,4258.24,1214.98,0.222,Credit Card,Standard Class
ORD-20230049,2025-04-21,2025-04-25,CUST-7621,Customer 7621,Home Office,United Kingdom,State_34,City_87,North,PROD-TEC-5419,Technology,Copiers,Copiers Product 44,8,374.85,0.16,2518.99,1983.37,535.62,0.2126,PayPal,First Class
ORD-20230050,2024-10-23,2024-10-29,CUST-5262,Customer 5262,Home Office,Canada,State_50,City_25,Central,PROD-TEC-5581,Technology,Copiers,Copiers Product 19,13,396.48,0.18,4226.48,3098.37,1128.11,0.2669,Bank Transfer,First Class
ORD-20230051,2025-07-20,2025-07-24,CUST-2266,Customer 2266,Corporate,United States,State_5,City_85,Central,PROD-OFF-3889,Office Supplies,Supplies,Supplies Product 45,13,143.26,0.13,1620.27,711.31,908.96,0.561,Bank Transfer,Standard Class
ORD-20230052,2023-12-06,2023-12-07,CUST-8317,Customer 8317,Consumer,United States,State_38,City_38,North,PROD-FUR-1494,Furniture,Tables,Tables Product 22,11,39.91,0.3,307.31,218.29,89.02,0.2897,Debit Card,First Class
ORD-20230053,2023-11-04,2023-11-11,CUST-4553,Customer 4553,Corporate,Germany,State_39,City_77,North,PROD-OFF-5691,Office Supplies,Fasteners,Fasteners Product 45,8,176.23,0.08,1297.05,566.79,730.26,0.563,Debit Card,Second Class
ORD-20230054,2025-11-13,2025-11-14,CUST-3854,Customer 3854,Consumer,Germany,State_45,City_20,East,PROD-FUR-6007,Furniture,Chairs,Chairs Product 50,13,116.84,0.15,1291.08,550.79,740.29,0.5734,Bank Transfer,Second Class
ORD-20230055,2024-06-15,2024-06-19,CUST-1520,Customer 1520,Consumer,United States,State_27,City_76,South,PROD-OFF-5130,Office Supplies,Binders,Binders Product 37,13,418.35,0.22,4242.07,3222.2,1019.87,0.2404,Debit Card,First Class
ORD-20230056,2025-03-05,2025-03-12,CUST-4608,Customer 4608,Home Office,France,State_26,City_56,South,PROD-FUR-5774,Furniture,Labels,Labels Product 5,14,329.49,0.22,3598.03,2064.2,1533.83,0.4263,Cash on Delivery,Standard Class
ORD-20230057,2025-07-01,2025-07-08,CUST-6195,Customer 6195,Corporate,United Kingdom,State_18,City_45,North,PROD-FUR-9668,Furniture,Chairs,Chairs Product 21,5,184.9,0.02,906.01,621.9,284.11,0.3136,PayPal,Standard Class
ORD-20230058,2023-09-14,2023-09-16,CUST-3459,Customer 3459,Home Office,Australia,State_44,City_58,East,PROD-FUR-2769,Furniture,Furnishings,Furnishings Product 4,10,8.36,0.19,67.72,53.74,13.98,0.2064,Cash on Delivery,Standard Class
ORD-20230059,2023-11-27,2023-12-02,CUST-2462,Customer 2462,Corporate,Canada,State_24,City_99,West,PROD-OFF-9535,Office Supplies,Supplies,Supplies Product 13,8,91.88,0.02,720.34,427.4,292.94,0.4067,Debit Card,First Class
ORD-20230060,2023-11-30,2023-12-06,CUST-6713,Customer 6713,Corporate,Australia,State_27,City_19,North,PROD-FUR-8468,Furniture,Tables,Tables Product 37,15,235.5,0.11,3143.93,1570.29,1573.64,0.5005,Credit Card,Standard Class
ORD-20230061,2023-01-28,2023-02-02,CUST-3476,Customer 3476,Consumer,United Kingdom,State_48,City_42,West,PROD-TEC-1194,Technology,Accessories,Accessories Product 31,15,496.59,0.01,7374.36,5714.16,1660.2,0.2251,Credit Card,Standard Class
ORD-20230062,2023-06-14,2023-06-17,CUST-6001,Customer 6001,Home Office,United States,State_20,City_41,South,PROD-FUR-7831,Furniture,Chairs,Chairs Product 22,6,337.16,0.27,1476.76,799.03,677.73,0.4589,Debit Card,Second Class
ORD-20230063,2024-11-17,2024-11-20,CUST-7770,Customer 7770,Home Office,United States,State_13,City_78,East,PROD-OFF-3945,Office Supplies,Binders,Binders Product 25,15,372.6,0.08,5141.88,3475.29,1666.59,0.3241,Bank Transfer,Standard Class
ORD-20230064,2024-04-30,2024-05-03,CUST-6666,Customer 6666,Corporate,Canada,State_44,City_41,East,PROD-FUR-8127,Furniture,Tables,Tables Product 43,9,47.55,0.05,406.55,307.26,99.29,0.2442,Credit Card,Standard Class
ORD-20230065,2025-10-24,2025-10-26,CUST-4021,Customer 4021,Corporate,Canada,State_15,City_35,West,PROD-FUR-6815,Furniture,Bookcases,Bookcases Product 30,12,419.28,0.0,5031.36,2220.25,2811.11,0.5587,Bank Transfer,Same Day
ORD-20230066,2024-10-25,2024-10-26,CUST-5720,Customer 5720,Home Office,Germany,State_22,City_84,South,PROD-TEC-2727,Technology,Copiers,Copiers Product 40,15,395.81,0.29,4215.38,2685.85,1529.53,0.3628,Cash on Delivery,Same Day
ORD-20230067,2023-06-14,2023-06-19,CUST-4730,Customer 4730,Corporate,Australia,State_1,City_34,Central,PROD-OFF-6434,Office Supplies,Storage,Storage Product 23,10,368.09,0.12,3239.19,2343.62,895.57,0.2765,Cash on Delivery,Standard Class
ORD-20230068,2025-05-09,2025-05-10,CUST-2395,Customer 2395,Consumer,United Kingdom,State_16,City_25,East,PROD-FUR-5354,Furniture,Bookcases,Bookcases Product 33,6,248.71,0.01,1477.34,644.07,833.27,0.564,Cash on Delivery,First Class
ORD-20230069,2024-08-11,2024-08-14,CUST-1194,Customer 1194,Home Office,France,State_2,City_73,West,PROD-OFF-7721,Office Supplies,Art,Art Product 3,11,181.19,0.21,1574.54,901.0,673.54,0.4278,Cash on Delivery,Standard Class
ORD-20230070,2025-03-19,2025-03-20,CUST-8338,Customer 8338,Home Office,United Kingdom,State_42,City_23,East,PROD-TEC-7805,Technology,Phones,Phones Product 38,11,229.9,0.01,2503.61,1534.89,968.72,0.3869,Bank Transfer,Same Day
ORD-20230071,2024-02-23,2024-02-26,CUST-1786,Customer 1786,Home Office,Germany,State_27,City_77,East,PROD-OFF-1318,Office Supplies,Fasteners,Fasteners Product 23,5,171.39,0.06,805.53,370.77,434.76,0.5397,Credit Card,Same Day
ORD-20230072,2025-04-19,2025-04-22,CUST-7704,Customer 7704,Home Office,United States,State_1,City_59,South,PROD-OFF-5543,Office Supplies,Storage,Storage Product 48,3,119.64,0.06,337.38,139.49,197.89,0.5865,Bank Transfer,First Class
ORD-20230073,2023-12-23,2023-12-29,CUST-8528,Customer 8528,Home Office,Canada,State_8,City_81,Central,PROD-FUR-3999,Furniture,Tables,Tables Product 35,14,11.83,0.25,124.22,69.73,54.49,0.4387,Bank Transfer,Standard Class
ORD-20230074,2023-08-13,2023-08-15,CUST-8031,Customer 8031,Corporate,United Kingdom,State_15,City_26,South,PROD-TEC-6940,Technology,Accessories,Accessories Product 36,11,180.99,0.14,1712.17,1347.19,364.98,0.2132,PayPal,Same Day
ORD-20230075,2023-12-04,2023-12-07,CUST-2897,Customer 2897,Home Office,United States,State_10,City_49,South,PROD-OFF-5667,Office Supplies,Fasteners,Fasteners Product 27,10,401.13,0.07,3730.51,1772.08,1958.43,0.525,Credit Card,Same Day
ORD-20230076,2024-03-16,2024-03-23,CUST-3493,Customer 3493,Corporate,United Kingdom,State_31,City_42,South,PROD-TEC-9364,Technology,Machines,Machines Product 27,15,108.2,0.25,1217.25,663.6,553.65,0.4548,Debit Card,Standard Class
ORD-20230077,2023-05-15,2023-05-20,CUST-8008,Customer 8008,Home Office,Australia,State_43,City_95,Central,PROD-FUR-7321,Furniture,Tables,Tables Product 4,8,321.23,0.09,2338.55,1061.89,1276.66,0.5459,Bank Transfer,Second Class
ORD-20230078,2023-08-10,2023-08-16,CUST-5425,Customer 5425,Consumer,France,State_36,City_71,North,PROD-FUR-9938,Furniture,Tables,Tables Product 7,15,68.53,0.01,1017.67,555.9,461.77,0.4538,Cash on Delivery,Same Day
ORD-20230079,2023-11-15,2023-11-20,CUST-9438,Customer 9438,Home Office,United Kingdom,State_46,City_57,North,PROD-OFF-2991,Office Supplies,Art,Art Product 38,9,88.36,0.12,699.81,505.01,194.8,0.2784,Credit Card,Second Class
ORD-20230080,2024-06-23,2024-06-24,CUST-5745,Customer 5745,Home Office,Australia,State_18,City_90,South,PROD-OFF-8077,Office Supplies,Binders,Binders Product 28,15,416.77,0.03,6064.0,3298.02,2765.98,0.4561,Cash on Delivery,Standard Class
ORD-20230081,2025-11-26,2025-11-28,CUST-6505,Customer 6505,Consumer,United Kingdom,State_45,City_80,Central,PROD-OFF-3771,Office Supplies,Supplies,Supplies Product 12,2,327.47,0.04,628.74,415.5,213.24,0.3392,Bank Transfer,Standard Class
ORD-20230082,2024-10-23,2024-10-26,CUST-6380,Customer 6380,Corporate,Canada,State_40,City_38,East,PROD-TEC-6480,Technology,Phones,Phones Product 45,8,44.04,0.16,295.95,214.24,81.71,0.2761,PayPal,Same Day
ORD-20230083,2024-11-22,2024-11-24,CUST-1627,Customer 1627,Home Office,France,State_28,City_2,Central,PROD-FUR-4972,Furniture,Bookcases,Bookcases Product 29,15,393.61,0.16,4959.49,3716.96,1242.53,0.2505,Credit Card,First Class
ORD-20230084,2024-04-04,2024-04-06,CUST-5280,Customer 5280,Corporate,Canada,State_6,City_24,South,PROD-OFF-1340,Office Supplies,Art,Art Product 40,6,408.17,0.16,2057.18,1064.25,992.93,0.4827,PayPal,Standard Class
ORD-20230085,2025-09-14,2025-09-18,CUST-7452,Customer 7452,Home Office,Canada,State_42,City_94,South,PROD-OFF-5287,Office Supplies,Art,Art Product 28,15,387.6,0.03,5639.58,3075.08,2564.5,0.4547,Bank Transfer,Second Class
ORD-20230086,2024-06-28,2024-06-29,CUST-1391,Customer 1391,Consumer,Germany,State_39,City_7,East,PROD-OFF-3684,Office Supplies,Binders,Binders Product 31,10,261.76,0.17,2172.61,1650.3,522.31,0.2404,Bank Transfer,Second Class
ORD-20230087,2023-06-13,2023-06-19,CUST-9436,Customer 9436,Home Office,Australia,State_22,City_68,North,PROD-FUR-3165,Furniture,Labels,Labels Product 47,15,146.4,0.17,1822.68,875.46,947.22,0.5197,PayPal,First Class
ORD-20230088,2024-12-29,2025-01-01,CUST-4036,Customer 4036,Home Office,Canada,State_26,City_77,Central,PROD-TEC-1305,Technology,Copiers,Copiers Product 23,14,436.01,0.18,5005.39,2898.81,2106.58,0.4209,Cash on Delivery,First Class
ORD-20230089,2023-11-12,2023-11-16,CUST-8333,Customer 8333,Corporate,United Kingdom,State_21,City_100,West,PROD-TEC-8922,Technology,Accessories,Accessories Product 18,4,233.51,0.1,840.64,510.73,329.91,0.3925,Debit Card,Second Class
ORD-20230090,2023-06-29,2023-07-05,CUST-5197,Customer 5197,Home Office,United Kingdom,State_44,City_71,Central,PROD-FUR-6339,Furniture,Bookcases,Bookcases Product 35,6,199.59,0.08,1101.74,458.54,643.2,0.5838,PayPal,Same Day
ORD-20230091,2023-08-07,2023-08-14,CUST-4854,Customer 4854,Consumer,Australia,State_39,City_33,North,PROD-FUR-8456,Furniture,Tables,Tables Product 10,10,292.59,0.18,2399.24,1485.4,913.84,0.3809,Bank Transfer,Second Class
ORD-20230092,2024-01-08,2024-01-11,CUST-8587,Customer 8587,Corporate,Germany,State_40,City_41,Central,PROD-TEC-4842,Technology,Copiers,Copiers Product 47,9,488.61,0.2,3517.99,2239.51,1278.48,0.3634,Credit Card,Same Day
ORD-20230093,2024-02-05,2024-02-12,CUST-7325,Customer 7325,Consumer,Canada,State_2,City_90,Central,PROD-OFF-4435,Office Supplies,Paper,Paper Product 24,12,321.46,0.08,3548.92,2097.29,1451.63,0.409,Credit Card,First Class
ORD-20230094,2024-06-05,2024-06-06,CUST-5402,Customer 5402,Corporate,Australia,State_13,City_98,North,PROD-OFF-9878,Office Supplies,Paper,Paper Product 25,7,77.91,0.05,518.1,226.5,291.6,0.5628,Bank Transfer,Standard Class
ORD-20230095,2023-10-17,2023-10-23,CUST-5387,Customer 5387,Corporate,Germany,State_39,City_64,Central,PROD-OFF-4626,Office Supplies,Binders,Binders Product 38,3,205.73,0.01,611.02,267.81,343.21,0.5617,Cash on Delivery,First Class
ORD-20230096,2023-07-24,2023-07-30,CUST-5357,Customer 5357,Consumer,United States,State_8,City_13,South,PROD-OFF-1238,Office Supplies,Storage,Storage Product 50,11,131.57,0.13,1259.12,925.56,333.56,0.2649,Cash on Delivery,Same Day
ORD-20230097,2025-07-28,2025-08-02,CUST-9571,Customer 9571,Consumer,Canada,State_42,City_48,East,PROD-OFF-2826,Office Supplies,Storage,Storage Product 29,13,421.04,0.05,5199.84,2543.37,2656.47,0.5109,Credit Card,Second Class
ORD-20230098,2023-02-19,2023-02-24,CUST-2343,Customer 2343,Consumer,France,State_20,City_6,West,PROD-FUR-3697,Furniture,Furnishings,Furnishings Product 39,6,111.84,0.27,489.86,278.97,210.89,0.4305,Credit Card,Standard Class
ORD-20230099,2025-08-05,2025-08-12,CUST-1550,Customer 1550,Home Office,Germany,State_47,City_76,West,PROD-TEC-9368,Technology,Machines,Machines Product 28,4,223.66,0.13,778.34,475.8,302.54,0.3887,Debit Card,Same Day
ORD-20230100,2023-05-28,2023-06-03,CUST-1842,Customer 1842,Consumer,United Kingdom,State_6,City_43,West,PROD-OFF-6730,Office Supplies,Art,Art Product 50,1,191.48,0.02,187.65,123.21,64.44,0.3434,Bank Transfer,Second Class
ORD-20230101,2024-10-03,2024-10-10,CUST-8446,Customer 8446,Home Office,Australia,State_5,City_94,East,PROD-OFF-7623,Office Supplies,Appliances,Appliances Product 18,11,207.64,0.03,2215.52,904.63,1310.89,0.5917,Credit Card,First Class
ORD-20230102,2023-04-21,2023-04-22,CUST-4252,Customer 4252,Corporate,France,State_30,City_68,West,PROD-OFF-8502,Office Supplies,Storage,Storage Product 22,15,453.71,0.01,6737.59,4940.18,1797.41,0.2668,Bank Transfer,First Class
ORD-20230103,2024-01-24,2024-01-31,CUST-9869,Customer 9869,Consumer,Canada,State_50,City_58,South,PROD-OFF-5221,Office Supplies,Paper,Paper Product 10,11,321.62,0.1,3184.04,2080.73,1103.31,0.3465,Bank Transfer,Second Class
ORD-20230104,2025-10-31,2025-11-01,CUST-5780,Customer 5780,Corporate,United States,State_14,City_88,West,PROD-OFF-4436,Office Supplies,Paper,Paper Product 46,8,182.89,0.08,1346.07,547.57,798.5,0.5932,PayPal,Second Class
ORD-20230105,2024-08-20,2024-08-23,CUST-7383,Customer 7383,Corporate,Australia,State_45,City_73,West,PROD-FUR-4678,Furniture,Furnishings,Furnishings Product 37,8,433.4,0.14,2981.79,1324.31,1657.48,0.5559,PayPal,Second Class
ORD-20230106,2023-10-18,2023-10-21,CUST-5961,Customer 5961,Corporate,United States,State_29,City_49,South,PROD-TEC-8856,Technology,Accessories,Accessories Product 31,12,238.87,0.29,2035.17,1179.6,855.57,0.4204,PayPal,Standard Class
ORD-20230107,2024-10-19,2024-10-26,CUST-8731,Customer 8731,Corporate,France,State_26,City_39,West,PROD-OFF-1021,Office Supplies,Fasteners,Fasteners Product 42,9,123.47,0.25,833.42,490.82,342.6,0.4111,Debit Card,Same Day
ORD-20230108,2023-04-19,2023-04-22,CUST-1765,Customer 1765,Consumer,United States,State_30,City_31,West,PROD-OFF-7751,Office Supplies,Appliances,Appliances Product 15,4,9.06,0.27,26.46,12.96,13.5,0.5102,PayPal,Standard Class
ORD-20230109,2023-04-19,2023-04-24,CUST-7599,Customer 7599,Home Office,Canada,State_30,City_77,Central,PROD-OFF-2784,Office Supplies,Supplies,Supplies Product 15,2,281.57,0.13,489.93,239.35,250.58,0.5115,Debit Card,Same Day
ORD-20230110,2023-03-30,2023-04-01,CUST-1169,Customer 1169,Consumer,United States,State_50,City_86,North,PROD-FUR-6288,Furniture,Furnishings,Furnishings Product 3,4,454.63,0.04,1745.78,1242.41,503.37,0.2883,Bank Transfer,Standard Class
